ProductModelNo,Year,ManufacturingCost,SellingCost,ProfitMargin,MarketShare,WarrantyPeriod,ServiceCenter,ClaimsMadeByCustInWarranty,RepairExpenditureDuringWarranty,ReplacementExpenditureDuringWarranty,FrequentFaults,FixedServiceCost,ProductLifeSpan,EstmtdServiceCost
abcd_15,2010,11978,14590,17.90267306,26,2,30,56,448,224,1,725.76,6,672
abcd_16,2010,4650,4899,5.082669933,48,4,24,81,162,81,1,247.86,5,243
abcd_17,2010,1845,2145,13.98601399,25,5,14,234,702,351,1,989.82,2,1053
abcd_18,2010,800,1167,31.44815767,21,3,68,146,110,55,2,151.8,1,165
abcd_19,2010,18002,23176,22.32481878,17,5,76,189,378,189,1,544.32,3,567
abcd_20,2010,43398,51987,16.52143805,36,2,78,21,210,105,1,346.5,7,315
abcd_21,2010,2387,2878,17.06045865,45,4,70,217,434,217,3,611.94,3,651
abcd_22,2010,3367,4121,18.29652997,31,2,65,45,540,270,1,842.4,4,810
abcd_23,2010,812,1178,31.06960951,32,1,59,37,111,55.5,2,179.82,3,166.5
abcd_1,2011,978,1123,12.91184328,17,1,49,132,528,264,1,823.68,3,792
abcd_2,2011,921,1176,21.68367347,23,3,55,34,306,153,2,459,3,459
abcd_3,2011,54656,59999,8.905148419,12,4,63,267,1068,534,2,1858.32,8,1602
abcd_4,2011,34001,38990,12.79558861,21,1,73,134,2680,1340,1,4743.6,10,4020
abcd_5,2011,456,589,22.58064516,19,2,43,87,261,130.5,1,399.33,3,391.5
abcd_6,2011,838,1111,24.57245725,25,3,53,89,93,46.5,1,139.5,3,139.5
abcd_7,2011,498,570,12.63157895,24,2,58,32,50,25,1,73.5,1,75
abcd_8,2011,2678,3350,20.05970149,35,5,47,56,120,60,1,169.2,2,180
abcd_9,2011,4267,4789,10.89997912,26,3,66,244,976,488,1,1493.28,4,1464
abcd_10,2011,43467,47655,8.788164935,34,3,76,176,4300,2150,2,6708,4,6450
abcd_11,2011,1045,1289,18.92940264,15,5,78,29,87,43.5,1,125.28,3,130.5
abcd_12,2011,1435,1898,24.39409905,43,3,47,13,52,26,2,81.12,4,78
abcd_13,2011,25000,29500,15.25423729,32,4,67,80,160,80,1,249.6,6,240
abcd_14,2011,14234,18975,24.98550725,27,4,43,99,891,445.5,1,1309.77,3,1336.5
abcd_15,2011,11768,14768,20.31419285,31,2,32,53,424,212,1,686.88,6,636
abcd_16,2011,4645,5234,11.25334352,45,4,25,45,90,45,3,143.1,5,135
abcd_17,2011,2199,2250,2.266666667,38,5,21,230,690,345,1,972.9,2,1035
abcd_18,2011,899,1250,28.08,20,3,68,100,110,55,2,151.8,1,165
abcd_19,2011,18800,25999,27.68952652,18,5,76,243,486,243,3,641.52,3,729
abcd_20,2011,48567,54676,11.1730924,21,2,78,31,310,155,1,511.5,7,465
abcd_21,2011,2367,2789,15.13087128,37,4,72,156,312,156,3,439.92,3,468
abcd_22,2011,3450,3978,13.27300151,42,2,69,123,1476,738,1,2302.56,4,2214
abcd_23,2011,878,1212,27.55775578,39,1,60,47,141,70.5,1,219.96,3,211.5
abcd_1,2012,989,1200,17.58333333,16,1,54,24,96,48,1,149.76,3,144
abcd_2,2012,1234,1345,8.252788104,15,3,57,45,405,202.5,2,607.5,3,607.5
abcd_3,2012,53980,61789,12.63817184,14,4,64,287,1148,574,3,2135.28,8,1722
abcd_4,2012,34657,39999,13.35533388,13,1,73,212,4240,2120,1,7504.8,10,6360
abcd_5,2012,443,602,26.41196013,14,2,45,65,195,97.5,1,298.35,3,292.5
abcd_6,2012,845,1034,18.27852998,16,3,53,76,94,47,1,141,3,141
abcd_7,2012,412,589,30.05093379,28,2,59,98,50,25,2,72,1,75
abcd_8,2012,3123,3350,6.776119403,27,4,52,32,120,60,2,165.6,2,180
abcd_9,2012,4234,4999,15.30306061,31,3,66,198,792,396,1,1211.76,4,1188
abcd_10,2012,44567,48756,8.591763065,34,3,76,54,4350,2175,1,6655.5,4,6525
abcd_11,2012,1101,1367,19.45866862,25,5,78,76,228,114,1,328.32,3,342
abcd_12,2012,1467,1897,22.66736953,34,3,48,121,484,242,3,769.56,4,726
abcd_13,2012,24876,32431,23.29561222,28,4,69,32,64,32,1,99.84,6,96
abcd_14,2012,14589,21345,31.65144062,27,4,45,145,1305,652.5,2,1879.2,3,1957.5
abcd_15,2012,13423,15809,15.09266873,32,3,37,67,536,268,1,852.24,6,804
abcd_16,2012,4967,5345,7.072029935,48,4,26,135,270,135,3,429.3,5,405
abcd_17,2012,2009,2678,24.98132935,22,5,24,135,405,202.5,2,534.6,2,607.5
abcd_18,2012,896,1221,26.61752662,11,3,68,150,110,55,1,158.4,1,165
abcd_19,2012,18190,21345,14.78097915,21,5,76,187,374,187,2,516.12,3,561
abcd_20,2012,48567,53567,9.334104953,22,2,78,78,567,283.5,2,1020.6,7,850.5
abcd_21,2012,2222,2900,23.37931034,31,5,72,198,396,198,3,522.72,3,594
abcd_22,2012,3415,3956,13.67542973,32,2,69,98,1176,588,1,1834.56,4,1764
abcd_23,2012,912,1265,27.90513834,31,1,63,21,63,31.5,1,98.28,3,94.5
abcd_1,2013,901,1111,18.90189019,18,1,54,34,136,68,1,212.16,3,204
abcd_2,2013,976,1156,15.57093426,24,3,57,76,684,342,2,1026,3,1026
abcd_3,2013,53234,62345,14.61384233,19,4,65,189,756,378,2,1315.44,8,1134
abcd_4,2013,34123,38990,12.48268787,21,1,73,231,4620,2310,1,8177.4,10,6930
abcd_5,2013,434,587,26.06473595,19,2,48,83,249,124.5,1,380.97,3,373.5
abcd_6,2013,865,1055,18.00947867,25,3,53,135,95,47.5,1,142.5,3,142.5
abcd_7,2013,419,534,21.53558052,30,2,60,110,50,25,2,72,1,75
abcd_8,2013,2879,3423,15.89249197,35,5,56,63,120,60,1,169.2,2,180
abcd_9,2013,4212,4890,13.86503067,25,3,68,85,340,170,2,530.4,4,510
abcd_10,2013,41234,48970,15.797427,24,3,76,67,4400,2200,1,6732,4,6600
abcd_11,2013,1100,1345,18.21561338,18,5,78,30,90,45,1,129.6,3,135
abcd_12,2013,1657,1879,11.8147951,48,3,53,33,132,66,2,205.92,4,198
abcd_13,2013,23467,31245,24.89358297,23,4,69,56,112,56,2,181.44,6,168
abcd_14,2013,13453,17896,24.82677693,30,4,45,203,1827,913.5,2,2630.88,3,2740.5
abcd_15,2013,11879,14879,20.16264534,29,2,39,95,760,380,1,1231.2,6,1140
abcd_16,2013,4659,4999,6.801360272,50,4,28,78,156,78,1,238.68,5,234
abcd_17,2013,1879,2341,19.73515592,36,5,24,230,690,345,1,972.9,2,1035
abcd_18,2013,899,1300,30.84615385,11,3,68,150,110,55,1,158.4,1,165
abcd_19,2013,18890,23000,17.86956522,9,5,76,250,500,250,1,720,3,750
abcd_20,2013,48900,54000,9.444444444,25,2,78,47,342,171,1,564.3,7,513
abcd_21,2013,2455,2705,9.242144177,45,4,72,230,460,230,3,648.6,3,690
abcd_22,2013,3499,3590,2.534818942,38,2,70,15,180,90,2,291.6,4,270
abcd_23,2013,888,1243,28.55993564,41,1,63,65,195,97.5,1,304.2,3,292.5
abcd_1,2014,897,1156,22.40484429,17,1,55,74,296,148,1,461.76,3,444
abcd_2,2014,890,1109,19.74752029,19,3,59,19,171,85.5,2,256.5,3,256.5
abcd_3,2014,53123,61567,13.7151396,22,4,67,178,712,356,2,1238.88,8,1068
abcd_4,2014,33134,39123,15.30813077,23,1,75,189,3780,1890,1,6690.6,10,5670
abcd_5,2014,471,534,11.79775281,21,2,51,57,171,85.5,3,271.89,3,256.5
abcd_6,2014,767,999,23.22322322,27,3,54,134,96,48,1,144,3,144
abcd_7,2014,400,510,21.56862745,30,2,60,23,50,25,2,72,1,75
abcd_8,2014,2789,3245,14.05238829,24,5,56,78,120,60,1,169.2,2,180
abcd_9,2014,4156,4999,16.86337267,26,3,73,201,804,402,3,1278.36,4,1206
abcd_10,2014,42678,47646,10.42689838,39,3,76,45,4450,2225,1,6808.5,4,6675
abcd_11,2014,1189,1600,25.6875,34,5,78,87,261,130.5,1,375.84,3,391.5
abcd_12,2014,1399,1832,23.63537118,35,3,55,76,304,152,2,474.24,4,456
abcd_13,2014,24346,29899,18.57252751,26,4,70,21,42,21,1,65.52,6,63
abcd_14,2014,14110,15990,11.75734834,16,4,49,231,2079,1039.5,2,2993.76,3,3118.5
abcd_15,2014,11765,14590,19.36257711,21,2,39,45,360,180,1,583.2,6,540
abcd_16,2014,4890,5123,4.548116338,24,4,30,134,268,134,2,418.08,5,402
abcd_17,2014,1823,2342,22.16054654,18,5,25,453,1359,679.5,1,1916.19,2,2038.5
abcd_18,2014,786,1021,23.01665034,13,3,70,234,110,55,2,151.8,1,165
abcd_19,2014,17689,21453,17.54533166,23,5,76,128,256,128,1,368.64,3,384
abcd_20,2014,44789,53456,16.21333433,16,2,78,18,180,90,1,297,7,270
abcd_21,2014,2378,2750,13.52727273,42,4,72,167,334,167,3,470.94,3,501
abcd_22,2014,3367,3986,15.52935273,16,2,70,31,372,186,2,602.64,4,558
abcd_23,2014,788,1001,21.27872128,24,1,63,98,294,147,2,476.28,3,441
abcd_1,2015,979,1099,10.91901729,35,1,59,34,136,68,1,212.16,3,204
abcd_2,2015,801,1121,28.54594112,22,3,60,32,288,144,1,432,3,432
abcd_3,2015,54467,59670,8.719624602,15,4,69,201,804,402,2,1398.96,8,1206
abcd_4,2015,33890,39928,15.12222,23,1,75,90,1800,900,1,3186,10,2700
abcd_5,2015,422,587,28.10902896,26,2,51,64,192,96,1,293.76,3,288
abcd_6,2015,878,999,12.11211211,26,4,54,167,96,48,1,141.12,3,144
abcd_7,2015,460,513,10.33138402,22,2,64,105,50,25,3,70.5,1,75
abcd_8,2015,2869,3689,22.22824614,28,5,59,67,120,60,1,169.2,2,180
abcd_9,2015,4150,4678,11.28687473,27,3,73,111,444,222,1,679.32,4,666
abcd_10,2015,41789,47989,12.91962741,31,3,76,56,4500,2250,2,7020,4,6750
abcd_11,2015,1123,1546,27.36093144,31,5,78,49,147,73.5,1,211.68,3,220.5
abcd_12,2015,1345,1675,19.70149254,43,3,55,75,300,150,2,468,4,450
abcd_13,2015,24990,30056,16.85520362,32,4,70,89,178,89,1,277.68,6,267
abcd_14,2015,14001,18765,25.38768985,29,4,50,67,603,301.5,1,886.41,3,904.5
abcd_15,2015,11111,13456,17.42717004,32,2,40,32,256,128,2,445.44,6,384
abcd_16,2015,4612,5321,13.32456305,46,4,34,56,112,56,1,171.36,5,168
abcd_17,2015,2345,2678,12.43465273,40,5,25,150,450,225,2,594,2,675
abcd_18,2015,910,1300,30,21,3,71,145,110,55,2,151.8,1,165
abcd_19,2015,18890,25400,25.62992126,24,5,76,223,446,223,1,642.24,3,669
abcd_20,2015,46789,54345,13.903763,21,2,78,54,540,270,2,972,7,810
abcd_21,2015,2378,2867,17.05615626,39,4,72,145,290,145,2,417.6,3,435
abcd_22,2015,3123,3867,19.23972071,51,2,70,32,384,192,1,599.04,4,576
abcd_23,2015,785,1321,40.57532173,36,1,65,56,168,84,1,262.08,3,252
abcd_1,2016,1099,1200,8.416666667,23,1,60,45,180,90,2,291.6,3,270
abcd_2,2016,1056,1345,21.48698885,23,3,61,77,693,346.5,2,1039.5,3,1039.5
abcd_3,2016,53456,62334,14.24262842,19,4,69,123,492,246,3,915.12,8,738
abcd_4,2016,32345,38978,17.01729181,24,1,75,213,4260,2130,1,7540.2,10,6390
abcd_5,2016,435,578,24.74048443,18,2,56,99,297,148.5,1,454.41,3,445.5
abcd_6,2016,812,1110,26.84684685,29,3,56,98,95,47.5,1,142.5,3,142.5
abcd_7,2016,367,587,37.47870528,25,2,66,145,50,25,1,73.5,1,75
abcd_8,2016,3150,3399,7.325684025,34,4,59,32,120,60,1,172.8,2,180
abcd_9,2016,4234,5001,15.33693261,23,3,74,176,704,352,1,1077.12,4,1056
abcd_10,2016,43234,48879,11.54892694,31,3,76,65,4500,2250,1,6885,4,6750
abcd_11,2016,1004,1345,25.35315985,27,5,78,87,261,130.5,1,375.84,3,391.5
abcd_12,2016,1334,1765,24.41926346,45,3,57,34,136,68,2,212.16,4,204
abcd_13,2016,24365,30099,19.05046679,18,4,71,34,68,34,2,110.16,6,102
abcd_14,2016,15200,22780,33.27480246,24,4,53,170,1530,765,2,2203.2,3,2295
abcd_15,2016,13190,16001,17.56765202,28,4,46,143,1144,572,1,1784.64,6,1716
abcd_16,2016,4900,5400,9.259259259,54,4,39,145,290,145,3,461.1,5,435
abcd_17,2016,2010,2567,21.69848072,33,5,32,201,603,301.5,1,850.23,2,904.5
abcd_18,2016,789,1098,28.1420765,21,3,72,176,110,55,1,158.4,1,165
abcd_19,2016,17567,22123,20.593952,17,5,76,167,334,167,1,480.96,3,501
abcd_20,2016,47000,54990,14.52991453,19,2,78,78,120,60,1,198,7,180
abcd_21,2016,2212,2567,13.82937281,32,4,72,123,246,123,3,346.86,3,369
abcd_22,2016,3312,3999,17.17929482,32,2,71,37,444,222,1,692.64,4,666
abcd_23,2016,801,1201,33.30557868,34,1,65,54,162,81,1,252.72,3,243
abcd_1,2017,1111,1387,19.89906273,15,1,61,17,68,34,1,106.08,3,102
abcd_2,2017,1023,1234,17.09886548,17,3,63,12,108,54,2,162,3,162
abcd_3,2017,54600,61000,10.49180328,11,4,69,289,1156,578,2,2011.44,8,1734
abcd_4,2017,34231,39789,13.96868481,19,1,75,311,6220,3110,1,11009.4,10,9330
abcd_5,2017,489,623,21.50882825,13,2,59,42,126,63,1,192.78,3,189
abcd_6,2017,889,1123,20.83704363,20,4,59,179,98,49,1,144.06,3,147
abcd_7,2017,489,523,6.500956023,22,2,68,59,50,25,3,70.5,1,75
abcd_8,2017,2657,3564,25.44893378,35,5,63,42,120,60,1,169.2,2,180
abcd_9,2017,4356,4656,6.443298969,27,3,75,170,680,340,1,1040.4,4,1020
abcd_10,2017,42890,47890,10.44059303,28,3,76,26,4550,2275,2,7098,4,6825
abcd_11,2017,1149,1400,17.92857143,24,5,78,21,63,31.5,1,90.72,3,94.5
abcd_12,2017,1376,1786,22.95632699,43,3,58,66,264,132,2,411.84,4,396
abcd_13,2017,24509,29500,16.91864407,42,4,72,156,312,156,1,486.72,6,468
abcd_14,2017,16789,20065,16.32693745,37,5,54,120,1080,540,1,1555.2,3,1620
abcd_15,2017,12345,16576,25.52485521,32,2,48,67,536,268,1,868.32,6,804
abcd_16,2017,4699,5345,12.08606174,43,4,43,76,152,76,3,241.68,5,228
abcd_17,2017,2199,2456,10.46416938,39,5,36,300,900,450,1,1269,2,1350
abcd_18,2017,850,999,14.91491491,23,3,72,200,110,55,1,158.4,1,165
abcd_19,2017,18789,24567,23.51935523,24,5,77,159,318,159,2,438.84,3,477
abcd_20,2017,46789,54678,14.42810637,13,2,78,23,230,115,2,414,7,345
abcd_21,2017,2389,2987,20.02008704,34,4,73,100,200,100,3,282,3,300
abcd_22,2017,3245,3789,14.35735022,40,2,73,33,396,198,1,617.76,4,594
abcd_23,2017,899,1234,27.14748784,35,1,68,25,75,37.5,1,117,3,112.5
